String ID,Dev Notes / Context,Character Limit,Text
"Joel Emerson","NPCs","48","Joel Emerson"
"Max Parker","NPCs","48","Max Parker"
"Daniel Baker","NPCs","48","Daniel Baker"
"Crow","NPCs","48","Crow"
"The Networker","NPCs","48","The Networker"
"Engineer Volkov","NPCs","48","Engineer Volkov"
"Igor Kuzmin","NPCs","48","Igor Kuzmin"
"Ghoul","NPCs","48","Ghoul"
"Soldier Yakim Borisov","NPCs","48","Soldier Yakim Borisov"
"Soldier Vadim Borisov","NPCs","48","Soldier Vadim Borisov"
"Soldier Kodiak Vlasov","NPCs","48","Soldier Kodiak Vlasov"
"The Guide","NPCs","48","The Guide"
"infestation","NPCs","48","infestation"
"Mr. Junk","NPCs","48","Mr. Junk"
"Kibba","NPCs","48","Kibba"
"Reynard Shepard","NPCs","48","Reynard Shepard"
"General Artemovich","NPCs","48","General Artemovich"
"Henry Davies","NPCs","48","Henry Davies"
"The Doctor","NPCs","48","The Doctor"
"Dimitriy Alexeev","NPCs","48","Dimitriy Alexeev"
"Crimson Assassin","NPCs","48","Crimson Assassin"
"Sergent Desya Popo","NPCs","48","Sergeant Desya Popo"
"Rabbit","NPCs","48","Rabbit"
"Rat","NPCs","48","Rat"
"Santa Claus","NPCs","48","Santa Claus"
"Chief Scientist Isaak Fedorov","NPCs","48","Chief Scientist Isaak Fedorov"
"Mutated Spider","NPCs","48","Mutated Spider"
"Spine","NPCs","48","Spine"
"Alexei Andreevich","NPCs","48","Alexei Andreevich"
"Osip Andreevich","NPCs","48","Osip Andreevich"
"Riley Evans","NPCs","48","Riley Evans"
"Viktor Tutorialovich","NPCs","48","Viktor Tutorialovich"
"Unknown","NPCs","48","Unknown"
"Wolf","NPCs","48","Wolf"
"Zombie","NPCs","48","Zombie"
"Armor repair kit","Armor Repair","48","Armor repair kit"
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the green box.","Armor Repair Description","256","To use this repair kit put the weapon in the primary slot, right click the repair kit and use the green box."
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the item.","Armor Repair Description","256","To use this repair kit put the weapon in the primary slot, right click the repair kit and use the item."
"To use this repair kit equip the armor, right click the repair kit and use the item.","Armor Repair Description","256","To use this repair kit equip the armor, right click the repair kit and use the item."
"Weapon repair kit","Weapon Repair","48","Weapon repair kit"
"Total Hunts","Stats","48","Total Hunts"
"Hunts Survived","Stats","48","Hunts Survived"
"Survival Rate %","Stats","48","Survival Rate %"
"Best survival streak","Stats","48","Best survival streak"
"Current survival streak","Stats","48","Current survival streak"
"Total money received","Stats","48","Total money received"
"Most money from a single hunt","Stats","48","Most money from a single hunt"
"Most exp from a single hunt","Stats","48","Most exp from a single hunt"
"Total human killed","Stats","48","Total human killed"
"Bandits","Stats","48","Bandits"
"Green army","Stats","48","Green army"
"Crimson Corporation","Stats/Factions","48","Crimson Corporation"
"Scientist","Stats/Factions","48","Scientist"
"Loner","Stats/Factions","48","Loner"
"???","Stats","48","???"
"Boss: Lazar","Stats","48","Boss: Lazar"
"Boss: Arman","Stats","48","Boss: Arman"
"Boss: Orel","Stats","48","Boss: Orel"
"Boss: Kibba","Stats","48","Boss: Kibba"
"Total mutants killed","Stats","48","Total mutants killed"
"Total chest opened","Stats","48","Total chest opened"
"Tool box","Stats","48","Tool box"
"medication box","Stats","48","medication box"
"Electronics box","Stats","48","Electronics box"
"Bag","Stats","48","Bag"
"cabinet","Stats","48","cabinet"
"Safe","Stats","48","Safe"
"Wood box","Stats","48","Wood box"
"Hidden stash","Stats","48","Hidden stash"
"Weapon box","Stats","48","Weapon box"
"Attachment box","Stats","48","Attachment box"
"Vending machine","Stats","48","Vending machine"
"Crystal","Stats","48","Crystal"
"Air drop","Stats","48","Air drop"
"Tikhon Romanov","Traders","48","Tikhon Romanov"
"Medication And Food","Trader Pages","48","Medication And Food"
"Equipment","Trader Pages","48","Equipment"
"Ammunition","Trader Pages","48","Ammunition"
"Pistol And SMG","Trader Pages","48","Pistol And SMG"
"Shotgun","Trader Pages","48","Shotgun"
"Sniper Rifle And DMR","Trader Pages","48","Sniper Rifle And DMR"
"Stock And Barrel","Trader Pages","48","Stock And Barrel"
"Magazine","Trader Pages","48","Magazine"
"Handguard And Pistol Grip","Trader Pages","48","Handguard And Pistol Grip"
"Attachment And Scope","Trader Pages","48","Attachment And Scope"
"Building kit: ammo 1","Upgrade Base Kit","48","Building kit: ammo 1"
"Building kit: ammo 2","Upgrade Base Kit","48","Building kit: ammo 2"
"Building kit: Bedroom 1","Upgrade Base Kit","48","Building kit: Bedroom 1"
"Building kit: Bedroom 2","Upgrade Base Kit","48","Building kit: Bedroom 2"
"Building kit: forge 1","Upgrade Base Kit","48","Building kit: forge 1"
"Building kit: forge 2","Upgrade Base Kit","48","Building kit: forge 2"
"Building kit: garden 1","Upgrade Base Kit","48","Building kit: garden 1"
"Building kit: garden 2","Upgrade Base Kit","48","Building kit: garden 2"
"Building kit: gym 1","Upgrade Base Kit","48","Building kit: gym 1"
"Building kit: gym 2","Upgrade Base Kit","48","Building kit: gym 2"
"Building kit: Infirmary 1","Upgrade Base Kit","48","Building kit: Infirmary 1"
"Building kit: Infirmary 2","Upgrade Base Kit","48","Building kit: Infirmary 2"
"Building kit: kitchen 1","Upgrade Base Kit","48","Building kit: kitchen 1"
"Building kit: kitchen 2","Upgrade Base Kit","48","Building kit: kitchen 2"
"Building kit: Radio station 1","Upgrade Base Kit","48","Building kit: Radio station 1"
"Building kit: Radio station 2","Upgrade Base Kit","48","Building kit: Radio station 2"
"Building kit: recycling 1","Upgrade Base Kit","48","Building kit: recycling 1"
"Building kit: recycling 2","Upgrade Base Kit","48","Building kit: recycling 2"
"Building kit: scavenger 1","Upgrade Base Kit","48","Building kit: scavenger 1"
"Building kit: scavenger 2","Upgrade Base Kit","48","Building kit: scavenger 2"
"Building kit: shooting range 1","Upgrade Base Kit","48","Building kit: shooting range 1"
"Building kit: shooting range 2","Upgrade Base Kit","48","Building kit: shooting range 2"
"Building kit: storage 1","Upgrade Base Kit","48","Building kit: storage 1"
"Building kit: storage 2","Upgrade Base Kit","48","Building kit: storage 2"
"Building kit: workshop 1","Upgrade Base Kit","48","Building kit: workshop 1"
"Building kit: workshop 2","Upgrade Base Kit","48","Building kit: workshop 2"
"Foregrip","Weapon Mods","64","Foregrip"
"Muzzle brake PPD-3C for 9x18, 9x19","Weapon Mods","64","Muzzle brake PPD-3C for 9x18, 9x19"
"TR-15 WM stock War Machine","Weapon Mods","64","TR-15 WM stock War Machine"
"TR-15 B mag magazine GEN T3 desert","Weapon Mods","64","TR-15 B mag magazine GEN T3 desert"
"TR-15 pistol grip","Weapon Mods","64","TR-15 pistol grip"
"Batko MKM handguard","Weapon Mods","64","Batko MKM handguard"
"EC standard stock","Weapon Mods","64","EC standard stock"
"VS-98 5 round magazine","Weapon Mods","64","VS-98 5 round magazine"
"EC standard handguard","Weapon Mods","64","EC standard handguard"
"suppressor 762x25","Weapon Mods","64","suppressor 7.62x25mm"
"EC series long barrel","Weapon Mods","64","EC series long barrel"
"Milosun red dot","Weapon Mods","64","Milosun red dot"
"PRK standard handguard","Weapon Mods","64","PRK standard handguard"
"F90 attachment rail","Weapon Mods","64","F90 attachment rail"
"NC 47 long barrel","Weapon Mods","64","NC 47 long barrel"
"Grusa double rail","Weapon Mods","64","Grusa double rail"
"G76 short barrel","Weapon Mods","64","G76 short barrel"
"Fanaz standard pistol grip","Weapon Mods","64","Fanaz standard pistol grip"
"Sha-12 long suppressor","Weapon Mods","64","Sha-12 long suppressor"
"N4o1 standard stock","Weapon Mods","64","N4o1 standard stock"
"TR-15 black handguard","Weapon Mods","64","TR-15 black handguard"
"ZZ VEL magazine","Weapon Mods","64","ZZ VEL magazine"
"EC wooden foregrip with rail","Weapon Mods","64","EC wooden foregrip with rail"
"FRD wooden stock","Weapon Mods","64","FRD wooden stock"
"EC B mag magazine GEN T3 desert","Weapon Mods","64","EC B mag magazine GEN T3 desert"
"MKM handguard","Weapon Mods","64","MKM handguard"
"EC desert handguard","Weapon Mods","64","EC desert handguard"
"Spec scope","Weapon Mods","64","Spec scope"
"Skop standard handguard","Weapon Mods","64","Skop standard handguard"
"Boulder standard grip","Weapon Mods","64","Boulder standard grip"
"NB5 pistol grip","Weapon Mods","64","NB5 pistol grip"
"N1o standard stock","Weapon Mods","64","N1o standard stock"
"G76 standard stock","Weapon Mods","64","G76 standard stock"
"Fanaz 60-round magazine","Weapon Mods","64","Fanaz 60-round magazine"
"Muzzle brake 7.62x51 and 7.62x39 revenge","Weapon Mods","64","Muzzle brake 7.62x51 and 7.62x39 revenge"
"TR-15 tactical stock grey","Weapon Mods","64","TR-15 tactical stock grey"
"TR-15 standard magazine","Weapon Mods","64","TR-15 standard magazine"
"TR-15 desert pistol grip","Weapon Mods","64","TR-15 desert pistol grip"
"STV-40 15 round magazine","Weapon Mods","64","STV-40 15 round magazine"
"VS-98 10 round magazine","Weapon Mods","64","VS-98 10 round magazine"
"suppressor 5.7x28","Weapon Mods","64","suppressor 5.7x28mm"
"EC series short barrel","Weapon Mods","64","EC series short barrel"
"Edatech dot","Weapon Mods","64","Edatech dot"
"PRK standard grip","Weapon Mods","64","PRK standard grip"
"NB5 stock","Weapon Mods","64","NB5 stock"
"NC 47 short barrel","Weapon Mods","64","NC 47 short barrel"
"Grusa single rail","Weapon Mods","64","Grusa single rail"
"EDL 10 round magazine","Weapon Mods","64","EDL 10 round magazine"
"Sha-12 short suppressor","Weapon Mods","64","Sha-12 short suppressor"
"Suppressor 5.56x45 CAK CBSS desert","Weapon Mods","64","Suppressor 5.56x45mm CAK CBSS desert"
"TR-15 Handguard Lone Moon","Weapon Mods","64","TR-15 Handguard Lone Moon"
"ZZ VEL handguard","Weapon Mods","64","ZZ VEL handguard"
"EC wooden foregrip","Weapon Mods","64","EC wooden foregrip"
"FRD 20 round magazine","Weapon Mods","64","FRD 20 round magazine"
"EC standard magazine","Weapon Mods","64","EC standard magazine"
"suppressor 9x19","Weapon Mods","64","suppressor 9x19mm"
"EC handguard","Weapon Mods","64","EC handguard"
"CU scope","Weapon Mods","64","CU scope"
"Skop standard pistol grip","Weapon Mods","64","Skop standard pistol grip"
"BBsH drum magazine","Weapon Mods","64","BBsH drum magazine"
"NB153 stock","Weapon Mods","64","NB153 stock"
"tactical green laser","Weapon Mods","64","tactical green laser"
"G76 long handguard (desert)","Weapon Mods","64","G76 long handguard (desert)"
"Fanaz 30-round magazine","Weapon Mods","64","Fanaz 30-round magazine"
"Muzzle brake 5.56x45 revenge","Weapon Mods","64","Muzzle brake 5.56x45 revenge"
"TR-15 tactical stock desert","Weapon Mods","64","TR-15 tactical stock desert"
"TR-15 iron sight","Weapon Mods","64","TR-15 iron sight"
"N4o1 standard pistol grip","Weapon Mods","64","N4o1 standard pistol grip"
"STV-40 10 round magazine","Weapon Mods","64","STV-40 10 round magazine"
"EC stock","Weapon Mods","64","EC stock"
"Stas 12 standard stock","Weapon Mods","64","Stas 12 standard stock"
"suppressor 5.45x39 TBS","Weapon Mods","64","suppressor 5.45x39mm TBS"
"EC-101 tactical magazine","Weapon Mods","64","EC-101 tactical magazine"
"Alton scope","Weapon Mods","64","Alton scope"
"Renindon 700 extended magazine","Weapon Mods","64","Renindon 700 extended magazine"
"N1o/skop magazine 50 round","Weapon Mods","64","N1o/skop magazine 50 round"
"Grusa tactical suppressor","Weapon Mods","64","Grusa tactical suppressor"
"EDL 5 round magazine","Weapon Mods","64","EDL 5 round magazine"
"Sha-12 standard brake","Weapon Mods","64","Sha-12 standard brake"
"Suppressor 5.56x45 CAK CBSS","Weapon Mods","64","Suppressor 5.56x45mm CAK CBSS"
"TR-15 desert handguard","Weapon Mods","64","TR-15 desert handguard"
"ZZ VEL pistol grip","Weapon Mods","64","ZZ VEL pistol grip"
"EC-74u handguard","Weapon Mods","64","EC-74u handguard"
"FRD 10 round magazine","Weapon Mods","64","FRD 10 round magazine"
"suppressor 9x18","Weapon Mods","64","suppressor 9x18mm"
"EC standard pistol grip","Weapon Mods","64","EC standard pistol grip"
"TSU scope","Weapon Mods","64","TSU scope"
"Skop long barrel","Weapon Mods","64","Skop long barrel"
"BBsH standard magazine","Weapon Mods","64","BBsH standard magazine"
"tactical red laser","Weapon Mods","64","tactical red laser"
"G76 long handguard","Weapon Mods","64","G76 long handguard"
"Fanaz 20-round magazine","Weapon Mods","64","Fanaz 20-round magazine"
"Muzzle brake 5.56x45 TVS CQB","Weapon Mods","64","Muzzle brake 5.56x45 TVS CQB"
"TR-15 stock KTR Green","Weapon Mods","64","TR-15 stock KTR Green"
"TR-15 Handguard TNR mt16","Weapon Mods","64","TR-15 Handguard TNR mt16"
"Sector 50 rounds magazine","Weapon Mods","64","Sector 50 rounds magazine"
"TR-15 muzzle brake","Weapon Mods","64","TR-15 muzzle brake"
"STV-40 handguard","Weapon Mods","64","STV-40 handguard"
"Stas 12 attachment rail","Weapon Mods","64","Stas 12 attachment rail"
"suppressor 5.45x39 Hexaboom","Weapon Mods","64","suppressor 5.45x39mm Hexaboom"
"EC-101 standard magazine","Weapon Mods","64","EC-101 standard magazine"
"Break scope","Weapon Mods","64","Break scope"
"Renindon 700 clip magazine","Weapon Mods","64","Renindon 700 clip magazine"
"NB5 30 round magazine","Weapon Mods","64","NB5 30 round magazine"
"N1o/skop magazine 30 round","Weapon Mods","64","N1o/skop magazine 30 round"
"Grusa tactical barrel","Weapon Mods","64","Grusa tactical barrel"
"EDL pistol grip","Weapon Mods","64","EDL pistol grip"
"Sha-12 standard sight","Weapon Mods","64","Sha-12 standard sight"
"TR-15 B mag magazine GEN T3 Green","Weapon Mods","64","TR-15 B mag magazine GEN T3 Green"
"TR-15 LYUA-C Handguard","Weapon Mods","64","TR-15 LYUA-C Handguard"
"modern tactical torch","Weapon Mods","64","modern tactical torch"
"FRD advanced handguard","Weapon Mods","64","FRD advanced handguard"
"EC B mag magazine GEN T3","Weapon Mods","64","EC B mag magazine GEN T3"
"suppressor 762x54","Weapon Mods","64","suppressor 7.62x54mm"
"NTS red dot","Weapon Mods","64","NTS red dot"
"Skop short barrel","Weapon Mods","64","Skop short barrel"
"BB 91 30 round magazine","Weapon Mods","64","BB 91 30 round magazine"
"NB153 handguard","Weapon Mods","64","NB153 handguard"
"Grusa 50 round magazine","Weapon Mods","64","Grusa 50 round magazine"
"G76 short handguard (desert)","Weapon Mods","64","G76 short handguard (desert)"
"Fanaz advanced rail","Weapon Mods","64","Fanaz advanced rail"
"Muzzle brake 5.45x39 ZPWW","Weapon Mods","64","Muzzle brake 5.45x39 ZPWW"
"TR-15 stock KTR black","Weapon Mods","64","TR-15 stock KTR black"
"TR-15 Handguard KV-rail","Weapon Mods","64","TR-15 Handguard KV-rail"
"Sector 21 rounds magazine","Weapon Mods","64","Sector 21 rounds magazine"
"N4o1 long barrel","Weapon Mods","64","N4o1 long barrel"
"FRD grip stock","Weapon Mods","64","FRD grip stock"
"MKM 35 round magazine","Weapon Mods","64","MKM 35 round magazine"
"EC handguard Pentagoon","Weapon Mods","64","EC handguard Pentagoon"
"suppressor 45","Weapon Mods","64","suppressor .45"
"Skop stock","Weapon Mods","64","Skop stock"
"Boulder 6 round magazine","Weapon Mods","64","Boulder 6 round magazine"
"NB5 20 round magazine","Weapon Mods","64","NB5 20 round magazine"
"N1o/skop magazine 20 round","Weapon Mods","64","N1o/skop magazine 20 round"
"Grusa short barrel","Weapon Mods","64","Grusa short barrel"
"Muzzle brake annikilator for 5.56x45, 7.62x51, 9x19","Weapon Mods","64","Muzzle brake annikilator for 5.56x45, 7.62x51, 9x19"
"Sha-12 20 round magazine","Weapon Mods","64","Sha-12 20 round magazine"
"TR-15 B mag magazine GEN T3","Weapon Mods","64","TR-15 B mag magazine GEN T3"
"N4o1 standard handguard","Weapon Mods","64","N4o1 standard handguard"
"standard tactical torch","Weapon Mods","64","standard tactical torch"
"EC Stock YUAS","Weapon Mods","64","EC Stock YUAS"
"FRD polymer handguard","Weapon Mods","64","FRD polymer handguard"
"EC 60 round magazine","Weapon Mods","64","EC 60 round magazine"
"suppressor 7.62x51 PTS/UDK","Weapon Mods","64","suppressor 7.62x51mm PTS/UDK"
"EC Tacto SAVV Pistol grip desert","Weapon Mods","64","EC Tacto SAVV Pistol grip desert"
"Lion scope","Weapon Mods","64","Lion scope"
"PRK Standard stock","Weapon Mods","64","PRK Standard stock"
"BB 91 20 round magazine","Weapon Mods","64","BB 91 20 round magazine"
"Nozin modern stock","Weapon Mods","64","Nozin modern stock"
"Grusa 30 round magazine","Weapon Mods","64","Grusa 30 round magazine"
"G76 short handguard","Weapon Mods","64","G76 short handguard"
"Fanaz attachment rail","Weapon Mods","64","Fanaz attachment rail"
"Muzzle brake 5.45x39 PPD-3C","Weapon Mods","64","Muzzle brake 5.45x39 PPD-3C"
"TR-15 stock KTR desert","Weapon Mods","64","TR-15 stock KTR desert"
"TR-15 Handguard CAK XRU","Weapon Mods","64","TR-15 Handguard CAK XRU"
"N4o1 short barrel","Weapon Mods","64","N4o1 short barrel"
"FRD modern stock","Weapon Mods","64","FRD modern stock"
"EC74 iron sight","Weapon Mods","64","EC74 iron sight"
"MKM 20 round magazine","Weapon Mods","64","MKM 20 round magazine"
"EC handguard Aggrexxor","Weapon Mods","64","EC handguard Aggrexxor"
"suppressor 12x70","Weapon Mods","64","suppressor 12x70mm"
"Skop standard stock","Weapon Mods","64","Skop standard stock"
"Boulder 12 round magazine","Weapon Mods","64","Boulder 12 round magazine"
"NB5 handguard","Weapon Mods","64","NB5 handguard"
"N1o modern stock","Weapon Mods","64","N1o modern stock"
"G76 advanced stock","Weapon Mods","64","G76 advanced stock"
"Muzzle brake TVS CQB for 9x18, 9x19","Weapon Mods","64","Muzzle brake TVS CQB for 9x18, 9x19"
"Sha-12 10 round magazine","Weapon Mods","64","Sha-12 10 round magazine"
"TR-15 extended magazine","Weapon Mods","64","TR-15 extended magazine"
"TR-15 green pistol grip","Weapon Mods","64","TR-15 green pistol grip"
"FRD wooden handguard","Weapon Mods","64","FRD wooden handguard"
"EC handguard Thukov Desert","Weapon Mods","64","EC handguard Thukov Desert"
"suppressor 762x39","Weapon Mods","64","suppressor 7.62x39mm"
"EC Tacto SAVV Pistol grip","Weapon Mods","64","EC Tacto SAVV Pistol grip"
"Snake sight","Weapon Mods","64","Snake sight"
"PRK Drum magazine","Weapon Mods","64","PRK Drum magazine"
"BB 91 handguard","Weapon Mods","64","BB 91 handguard"
"Nozin wooden stock","Weapon Mods","64","Nozin wooden stock"
"Grusa 20 round magazine","Weapon Mods","64","Grusa 20 round magazine"
"G76 long barrel","Weapon Mods","64","G76 long barrel"
"Muzzle brake 5.45x39 TVS CQB","Weapon Mods","64","Muzzle brake 5.45x39 TVS CQB"
"TR-15 stock","Weapon Mods","64","TR-15 stock"
"TR-15 green handguard","Weapon Mods","64","TR-15 green handguard"
"ZZ VEL 30 round magazine","Weapon Mods","64","ZZ VEL 30 round magazine"
"ETS stock","Weapon Mods","64","ETS stock"
"FRD polymer stock","Weapon Mods","64","FRD polymer stock"
"MKM 10 round magazine","Weapon Mods","64","MKM 10 round magazine"
"EC handguard Thukov","Weapon Mods","64","EC handguard Thukov"
"Vadoo scope","Weapon Mods","64","Vadoo scope"
"Skop long handguard","Weapon Mods","64","Skop long handguard"
